num_date_time,answer
1_20220825 00,2180.64013671875
1_20220825 01,2140.424560546875
1_20220825 02,1965.295654296875
1_20220825 03,1907.697265625
1_20220825 04,1821.0338134765625
1_20220825 05,1970.1558837890625
1_20220825 06,2167.86279296875
1_20220825 07,2474.22119140625
1_20220825 08,2846.114013671875
1_20220825 09,3256.132080078125
1_20220825 10,4014.167724609375
1_20220825 11,4071.81640625
1_20220825 12,4109.951171875
1_20220825 13,4205.17578125
1_20220825 14,4072.924560546875
1_20220825 15,3760.55224609375
1_20220825 16,3855.820556640625
1_20220825 17,3614.575927734375
1_20220825 18,2906.593017578125
1_20220825 19,2741.75341796875
1_20220825 20,2429.501708984375
1_20220825 21,2012.724853515625
1_20220825 22,1459.676025390625
1_20220825 23,2009.72900390625
1_20220826 00,2042.3006591796875
1_20220826 01,2003.30126953125
1_20220826 02,1876.8734130859375
1_20220826 03,1823.6802978515625
1_20220826 04,1815.7635498046875
1_20220826 05,1953.517333984375
1_20220826 06,2109.38330078125
1_20220826 07,2378.077392578125
1_20220826 08,2715.41845703125
1_20220826 09,3246.14111328125
1_20220826 10,3993.584716796875
1_20220826 11,4077.87255859375
1_20220826 12,4088.469970703125
1_20220826 13,4118.9423828125
1_20220826 14,4082.801513671875
1_20220826 15,4246.43310546875
1_20220826 16,4182.1474609375
1_20220826 17,3603.489013671875
1_20220826 18,2870.84228515625
1_20220826 19,2723.447998046875
1_20220826 20,2561.476318359375
1_20220826 21,2142.361328125
1_20220826 22,1526.0321044921875
1_20220826 23,2207.16845703125
1_20220827 00,2076.0927734375
1_20220827 01,2007.8551025390625
1_20220827 02,1777.52099609375
1_20220827 03,1717.1475830078125
1_20220827 04,1707.7607421875
1_20220827 05,1751.1494140625
1_20220827 06,1950.6234130859375
1_20220827 07,2118.89404296875
1_20220827 08,2317.927978515625
1_20220827 09,2464.731201171875
1_20220827 10,3064.24853515625
1_20220827 11,2968.860595703125
1_20220827 12,3079.92333984375
1_20220827 13,3009.736328125
1_20220827 14,3048.76123046875
1_20220827 15,3049.66796875
1_20220827 16,3012.719970703125
1_20220827 17,2861.4873046875
1_20220827 18,2500.103515625
1_20220827 19,2284.21337890625
1_20220827 20,2099.1494140625
1_20220827 21,1868.528076171875
1_20220827 22,1403.83203125
1_20220827 23,1857.8843994140625
1_20220828 00,1875.0078125
1_20220828 01,1795.1956787109375
1_20220828 02,1692.443603515625
1_20220828 03,1696.04443359375
1_20220828 04,1694.9722900390625
1_20220828 05,1761.333251953125
1_20220828 06,1940.2261962890625
1_20220828 07,2111.225341796875
1_20220828 08,2317.252197265625
1_20220828 09,2524.8701171875
1_20220828 10,3140.533935546875
1_20220828 11,3284.337646484375
1_20220828 12,3111.58447265625
1_20220828 13,3154.482666015625
1_20220828 14,3151.804443359375
1_20220828 15,3158.086669921875
1_20220828 16,3139.142333984375
1_20220828 17,3031.970458984375
1_20220828 18,2672.66455078125
1_20220828 19,2472.30029296875
1_20220828 20,2287.0849609375
1_20220828 21,2015.5191650390625
1_20220828 22,1425.29248046875
1_20220828 23,2055.448486328125
1_20220829 00,2117.013671875
1_20220829 01,2012.608154296875
1_20220829 02,1882.1396484375
1_20220829 03,1823.668212890625
1_20220829 04,1821.9580078125
1_20220829 05,1939.56640625
1_20220829 06,2142.382080078125
1_20220829 07,2390.372802734375
1_20220829 08,2666.16357421875
1_20220829 09,2956.208740234375
1_20220829 10,3540.696044921875
1_20220829 11,3807.5126953125
1_20220829 12,3789.52587890625
1_20220829 13,3865.501708984375
1_20220829 14,3818.052001953125
1_20220829 15,3837.1796875
1_20220829 16,3722.509521484375
1_20220829 17,3368.179443359375
1_20220829 18,2679.269287109375
1_20220829 19,2548.30859375
1_20220829 20,2322.33935546875
1_20220829 21,1980.8590087890625
1_20220829 22,1470.269775390625
1_20220829 23,1986.4361572265625
1_20220830 00,2004.16748046875
1_20220830 01,1972.9986572265625
1_20220830 02,1837.45947265625
1_20220830 03,1785.210205078125
1_20220830 04,1779.8997802734375
1_20220830 05,1928.8162841796875
1_20220830 06,2103.52392578125
1_20220830 07,2408.364013671875
1_20220830 08,2721.7236328125
1_20220830 09,3036.42578125
1_20220830 10,3604.473388671875
1_20220830 11,3623.169189453125
1_20220830 12,3652.34033203125
1_20220830 13,3632.48193359375
1_20220830 14,3662.970703125
1_20220830 15,3628.17626953125
1_20220830 16,3589.345947265625
1_20220830 17,3358.765380859375
1_20220830 18,2678.090087890625
1_20220830 19,2598.315673828125
1_20220830 20,2376.881591796875
1_20220830 21,1964.9637451171875
1_20220830 22,1468.280029296875
1_20220830 23,1966.65380859375
1_20220831 00,1997.562744140625
1_20220831 01,1971.5499267578125
1_20220831 02,1844.954345703125
1_20220831 03,1782.606689453125
1_20220831 04,1805.7801513671875
1_20220831 05,1932.70361328125
1_20220831 06,2093.47607421875
1_20220831 07,2349.064453125
1_20220831 08,2684.290771484375
1_20220831 09,3039.0068359375
1_20220831 10,3726.709716796875
1_20220831 11,3932.5234375
1_20220831 12,4076.222900390625
1_20220831 13,4068.156494140625
1_20220831 14,4080.5810546875
1_20220831 15,4026.377197265625
1_20220831 16,3995.482421875
1_20220831 17,3701.418701171875
1_20220831 18,2889.294677734375
1_20220831 19,2725.31005859375
1_20220831 20,2556.21484375
1_20220831 21,2013.9510498046875
1_20220831 22,1472.4146728515625
1_20220831 23,1991.649169921875
2_20220825 00,1276.15185546875
2_20220825 01,1272.7911376953125
2_20220825 02,1271.3861083984375
2_20220825 03,1246.7813720703125
2_20220825 04,1243.9522705078125
2_20220825 05,1238.4364013671875
2_20220825 06,1288.3536376953125
2_20220825 07,1321.048583984375
2_20220825 08,1931.37548828125
2_20220825 09,2234.570068359375
2_20220825 10,2475.686767578125
2_20220825 11,2456.4296875
2_20220825 12,2528.271484375
2_20220825 13,2498.748291015625
2_20220825 14,2488.75146484375
2_20220825 15,2217.27099609375
2_20220825 16,2394.22314453125
2_20220825 17,2461.477783203125
